コード,名 称,特 色,総資産
6946,日本アビオニクス(株),ＮＥＣ発祥。防衛用表示・音響機器大手で防衛関連４割。赤外線など民需も。ファンドの傘下に,8712000000.0
6947,(株)図研,プリント基板ＣＡＤ／ＣＡＭの国内最大手。世界でもトップ級。自動車関連や生産管理にも実績,65236999999.99999
6951,日本電子(株),電子顕微鏡で世界首位。半導体製造装置を拡大中。分析機器・医用機器も手がける。ニコンと連携,315647000000.0
6952,カシオ計算機(株),樫尾４兄弟が創業、電卓で成長。腕時計、電子辞書で高シェア。コンパクトデジカメから撤退,291126000000.0
6954,ファナック(株),工作機械用ＮＣ（数値制御）装置世界首位。産業用ロボや小型マシニングセンタも。配当性向６０％,3936000000000.0
6955,ＦＤＫ(株),富士通傘下。産業用のリチウム電池やニッケル水素電池が主軸。電子事業は好採算品へシフト,27157000000.0
6957,(株)芝浦電子,温度センサー最大手。素子は国内、センサー製品は海外で８割生産。自動車、空調向け多い,42289000000.0
6958,日本ＣＭＫ(株),プリント配線板最大手。自動車向けが８割。ビルドアップ配線板など高付加価値品強化,27940000000.0
6960,フクダ電子(株),医用電子機器メーカー。循環器系に強く、心電計でトップ。フィリップスなど海外勢と提携,109620000000.0
6961,(株)エンプラス,精密プラスチック加工首位。微細加工技術に定評。顧客対応で海外生産網充実。ＬＥＤ関連強化,29931000000.0
6962,(株)大真空,水晶デバイス総合大手。音叉型や民生用振動子などシェア首位級。人工水晶から一貫生産に強み,34351000000.0
6963,ローム(株),カスタムＬＳＩ首位。ダイオードなど半導体素子や抵抗器有力。ＯＫＩ半導体事業買収。好財務,989211000000.0
6964,(株)サンコー,デジタル家電、車載電装品等の部品を受託生産。金型製作から組み立てまでの一貫生産が強み,4313000000.0
6965,浜松ホトニクス(株),光検出器関連で高技術。光電子増倍管で世界シェア約９０％。医用など高性能品多数。開発型企業,898002000000.0
6966,(株)三井ハイテック,ＩＣリードフレーム、自動車・家電向けモーターコア大手。超精密金型強み。配当性向３割メド,406846000000.0
6967,新光電気工業(株),半導体パッケージ大手、主顧客はインテル。半導体製造装置向け静電チャックも。富士通系,661941000000.0
6969,松尾電機(株),コンデンサー大手、タンタルに強み。自動車用主力でデンソー向け３割強。マイクロヒューズも,1948000000.0
6971,京セラ(株),コンデンサーなど電子部品大手。太陽電池モジュール、通信機器、複写機など多角化経営を標榜,2540000000000.0
6976,太陽誘電(株),セラミックコンデンサー世界上位。インダクター併営。１０年買収の通信フィルターが第３の柱,645152000000.0
6977,(株)日本抵抗器製作所,抵抗器の中堅。自動車向け依存大。ハイブリッドＩＣ、電子機器に主力移行。中国生産を拡大,1200000000.0
6981,(株)村田製作所,電子部品大手。世界トップのセラミックコンデンサーが主柱。原料からのセラミック技術に強み,5221000000000.0
6986,双葉電子工業(株),電子部品、ラジコン、生産器材が柱。蛍光表示管は２１年末撤退。海外販売比率はアジアなど６割,29226000000.0
6989,北陸電気工業(株),車載用モジュール製品、抵抗器が主力。各種センサーも。無線・センサー組み合わせ品開発推進,9550000000.0
6994,(株)指月電機製作所,大型コンデンサー得意。小型・軽量、高耐熱性、高機能化へ展開。三菱電機、村田製作所と緊密,15047000000.0
6996,ニチコン(株),アルミ電解コンデンサー主にフィルムコンデンサー育成。ＥＶ用や家庭用充蓄電システムも,86824000000.0
6997,日本ケミコン(株),アルミ電解コンデンサーで首位。アルミ電解箔の技術は世界級。車載用キャパシタを育成中,36181000000.0
6998,日本タングステン(株),タングステンとモリブデンの加工業。超硬合金、ロータリーカッター、自動車用電極など育成,5660000000.0
6999,ＫＯＡ(株),固定抵抗器で世界首位級。長野中心に国内生産比率７０％強と高い。自動車向けに強み。好財務,62087000000.0
7244,市光工業(株),自動車照明大手。ドアミラーも。トヨタ、日産など各社と取引。仏ヴァレオ傘下で再成長急ぐ,34414000000.0
7276,(株)小糸製作所,自動車照明で首位。車用はトヨタ系が約５割。海外進出に積極的。自動運転技術開発にも注力,761889000000.0
7280,(株)ミツバ,自動車ワイパーモーターなどが主力。ホンダ向け５割弱。旧日産系の自動車電機工業と合併,18082000000.0
7735,(株)ＳＣＲＥＥＮホールディングス,半導体製造装置の大手、うちウエハ洗浄装置では世界断トツ。液晶製造装置や印刷機器も展開,545263000000.00006
7739,キヤノン電子(株),キヤノンの製造子会社。カメラシャッター製造やＬＢＰのレーザースキャナー・組み立てが柱,61357000000.0
7751,キヤノン(株),カメラ、複合機の最大手。ミラーレスカメラ注力。半導体露光装置、監視カメラ、医療機器も展開,3338000000000.0
7752,(株)リコー,事務機国内首位級。複合機や商用印刷機のほか、ＩＴサービスに注力。大規模な構造改革は一巡,677093000000.0
7965,象印マホービン(株),調理用家電・リビング用品の専業大手。海外生産比率が５割超。台湾などアジアと北米に強い,92426000000.0
7999,ＭＵＴＯＨホールディングス(株),業務用大判プリンタの最大手。ＣＡＤソフトを核にしたＳＩ事業を強化中。不動産賃貸併営,9870000000.0
8035,東京エレクトロン(株),半導体製造装置で世界４位。コータデベロッパー、エッチング装置、成膜装置など前工程に強み,9083000000000.0
